Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
Configure your organization in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/configure-your-organization-finance-ops/,8,"3,306","51,614",11.92%,"1,376",164,152,2559,64.36027425,"1,738",745,learn-dynamics.configure-your-organization-in-finance-and-ops,business-user;functional-consultant;administrator,dynamics-365;dynamics-finance-operations,intermediate;advanced
Connect and engage with customers with Omnichannel for Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/work-customer-service-omnichannel/,10,"1,099","16,898",9.49%,632,60,65,2559,44.95670306,486,441,learn-dynamics.work-customer-service-omnichannel,administrator;functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate
Connect to Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/connect-finance-operations/,8,"1,593","16,089",15.71%,382,60,53,2559,26.55140197,661,374,learn-dynamics.connect-to-dynamics-365-finance-operations,administrator;developer,dynamics-365;dynamics-finance-operations,intermediate
Connect your services together,https://docs.microsoft.com/en-us/learn/paths/connect-your-services-together/,5,"9,987","150,759",18.46%,"5,850","1,080","1,057",2559,42.63449651,"6,629",244,learn.connect-your-services-together,developer,azure;azure-service-bus;azure-event-grid;azure-event-hubs;azure-storage,beginner;intermediate
Consume data with Power BI,https://docs.microsoft.com/en-us/learn/paths/consume-data-with-power-bi/,2,"29,571","139,903",6.77%,"19,152","1,297","1,423",2559,12.87364197,"11,435",129,learn-bizapps.get-started-using-power-bi,business-user,power-bi;power-platform,beginner
Continuous integration with Azure DevOps for Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/continuous-integration/,7,"1,297","8,169",1.13%,442,5,6,2559,18.94027242,189,432,learn-dynamics.continuous-integration,developer,dynamics-365;dynamics-business-central,intermediate
Control Azure spending and manage bills with Azure Cost Management and billing,https://docs.microsoft.com/en-us/learn/paths/control-spending-manage-bills/,6,"29,357","243,849",12.03%,923,111,125,2559,23.39958159,"1,767",229,learn.control-spending-manage-bills,administrator;solution-architect;business-analyst;business-user;technology-manager,azure;azure-portal;azure-cost-management;azure-advisor,beginner
Create a business process flow in Power Automate,https://docs.microsoft.com/en-us/learn/paths/create-business-process-flow/,4,"5,648","46,075",14.42%,"3,709",535,588,2559,21.3978547,"3,740",184,learn-bizapps.create-business-process-flow,maker;functional-consultant;business-user,power-automate;power-platform,intermediate
Create a canvas app in Power Apps,https://docs.microsoft.com/en-us/learn/paths/create-powerapps/,3,"48,177","310,494",11.35%,"17,544","1,992","2,017",2559,17.57045305,"11,074",131,learn-bizapps.create-powerapps,business-user;functional-consultant;maker,power-platform;power-apps,beginner
Create a Language Understanding solution,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,3,"1,328","14,398",25.55%,912,233,273,2559,23.6032003,92,148,learn.wwl.create-language-understanding-solution,ai-engineer;developer,azure-cognitive-services;azure-language-understanding,intermediate
Create a model-driven application in Power Apps,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,"14,439","134,126",16.66%,"7,942","1,323",909,2559,24.68211326,"7,021",249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner
Create an enterprise-scale architecture in Azure,https://docs.microsoft.com/en-us/learn/paths/enterprise-scale-architecture/,4,"1,384","11,471",23.15%,717,166,184,2559,24.19934971,"1,187",166,learn.azure.enterprise-scale-architecture,solution-architect,azure,beginner
Create and use analytics reports with Power BI,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,"121,613","729,280",6.84%,"23,907","1,635","1,824",2559,14.34115117,"25,739",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner
"Create apps, chatbots, and flows with Microsoft Dataverse and Teams",https://docs.microsoft.com/en-us/learn/paths/work-power-platform-teams/,5,"2,206","16,758",14.62%,"1,012",148,165,2559,15.95068752,395,124,learn-bizapps.work-power-platform-teams,business-user;maker,power-platform;power-apps;power-automate;power-virtual-agents;office-teams;common-data-service,beginner
Create bots with Power Virtual Agents,https://docs.microsoft.com/en-us/learn/paths/work-power-virtual-agents/,4,"2,071","23,579",16.21%,"1,505",244,265,2559,31.24427008,"1,334",151,learn-bizapps.work-power-virtual-agents,maker;administrator,power-platform;power-virtual-agents,intermediate
Create cloud native apps with Azure and open-source software,https://docs.microsoft.com/en-us/learn/paths/create-cloud-native-apps-with-azure-open-source/,7,"1,224","6,716",3.43%,729,25,27,2559,9.663316993,90,518,learn.azure.cna-architect-modern-apps,administrator;developer;solution-architect;student,azure;azure-kubernetes-service;azure-app-service;azure-container-registry;azure-cosmos-db;azure-iot-central;azure-pipelines;github;azure-database-postgresql;azure-monitor;azure-application-insights;azure-active-directory,intermediate
Create components with Power Apps Component Framework,https://docs.microsoft.com/en-us/learn/paths/use-power-apps-component-framework/,3,"2,734","18,039",10.54%,"1,726",182,175,2559,17.16085711,"1,204",156,learn-dynamics.use-power-apps-component-framework,developer,dynamics-365;power-platform;power-apps,advanced
Create computer vision solutions with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,5,"1,842","20,984",22.10%,982,217,242,2559,18.3036464,88,267,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services;azure-computer-vision;azure-custom-vision;azure-face;azure-video-indexer,intermediate
Create conversational AI solutions,https://docs.microsoft.com/en-us/learn/paths/create-conversational-ai-solutions/,2,"2,147","15,572",15.02%,"1,591",239,277,2559,19.35990529,601,124,learn.wwl.create-conversational-ai-solutions,ai-engineer;developer,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,intermediate
Create data-driven websites by using the Python framework Django,https://docs.microsoft.com/en-us/learn/paths/django-create-data-driven-websites/,6,"1,435","9,356",1.54%,842,13,20,2559,14.96552846,312,180,learn.django-create-data-driven-websites,developer;student,azure;vs-code;azure-app-service,intermediate
Create financial reports in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-financial-reports-dynamics-365-business-central/,5,953,"5,482",7.22%,277,20,22,2559,13.71694648,484,224,learn-dynamics.create-financial-reports-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Create fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-fixed-assets/,3,220,"1,729",18.25%,137,25,27,2559,16.18931818,131,83,learn-dynamics.create-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Create intelligent health bots with Azure Health Bot,https://docs.microsoft.com/en-us/learn/paths/create-bots-azure-health-bot/,9,277,"2,708",6.57%,137,9,9,2559,24.17280385,19,277,learn.create-bots-azure-health-bot,developer,vs,beginner
Create jobs in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-jobs/,4,276,"1,900",13.84%,159,22,23,2559,11.86588164,159,112,learn-dynamics.create-jobs,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Create machine learning models,https://docs.microsoft.com/en-us/learn/paths/create-machine-learn-models/,5,"13,502","107,618",4.49%,"10,926",491,554,2559,28.61584457,"6,557",318,learn.wwl.create-machine-learn-models,ai-engineer;data-scientist;developer;student,vs-code;azure,intermediate
Create microservices with .NET and ASP.NET Core,https://docs.microsoft.com/en-us/learn/paths/create-microservices-with-dotnet/,9,"7,610","56,585",3.77%,"2,679",101,117,2559,16.35943495,565,463,learn.dotnet.create-microservices-with-dotnet,developer;solution-architect,dotnet;aspnet-core;dotnet-core;azure;azure-application-insights;azure-container-registry;azure-kubernetes-service,beginner;intermediate
"Create relationships, business rules, calculations, and rollups in Microsoft Dataverse",https://docs.microsoft.com/en-us/learn/paths/create-relationships-common-data-service/,3,"2,006","16,754",20.56%,"1,216",250,287,2559,18.25229312,"1,560",141,learn-dynamics.create-relationships-business-rules-calculations-and-rollups-in-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,intermediate
Create serverless applications,https://docs.microsoft.com/en-us/learn/paths/create-serverless-applications/,11,"37,273","564,620",4.35%,"22,359",972,858,2559,47.84203981,"15,851",517,learn.create-serverless-applications,developer;student,azure;azure-functions;azure-portal;azure-cosmos-db;azure-storage;azure-cloud-shell,beginner;intermediate
Create surveys with Dynamics 365 Customer Voice,https://docs.microsoft.com/en-us/learn/paths/create-surveys/,6,"1,354","9,186",4.19%,620,26,32,2559,17.08506893,406,258,learn-dynamics.create-surveys,functional-consultant;business-user,dynamics-365;customer-voice,intermediate
Creating your first web apps with React,https://docs.microsoft.com/en-us/learn/paths/react/,3,"2,220","13,246",4.76%,"1,513",72,93,2559,12.3815991,871,81,learn.react,developer;student,azure-app-service-static;vs-code,beginner;intermediate
Customize and add advanced features to Xamarin.Forms apps,https://docs.microsoft.com/en-us/learn/paths/customize-your-xamarin-forms-apps/,9,"1,480","10,872",3.32%,391,13,13,2559,22.85048423,"1,639",505,learn-xamarin.customize-your-xamarin-forms-apps,developer,xamarin;dotnet;vs,intermediate
Data analysis in Power BI,https://docs.microsoft.com/en-us/learn/paths/perform-analytics-power-bi/,2,"11,926","88,801",12.87%,"9,686","1,247","1,412",2559,21.11594276,"9,319",112,learn-bizapps.data-analysis-power-bi,data-analyst,power-bi,intermediate
Data engineering with Azure Databricks,https://docs.microsoft.com/en-us/learn/paths/data-engineer-azure-databricks/,15,"9,174","171,253",9.09%,"5,293",481,551,2559,39.56165068,"3,707",617,learn.wwl.data-engineer-azure-databricks,data-engineer,azure-databricks,intermediate
Data integration at scale Azure Data Factory,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,8,"9,254","162,154",9.30%,"6,032",561,624,2559,52.60556156,"2,446",348,learn.wwl.data-integration-scale-azure-data-factory,data-engineer;data-scientist,azure-data-factory;azure-synapse-analytics,intermediate
Defend against threats with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-security-threat-protection/,4,"9,219","71,478",29.13%,"3,327",969,"1,091",2559,21.14502838,"5,350",217,learn-m365.m365-security-threat-protection,administrator,m365;office-365;m365-threat-protection,intermediate
Define an AI strategy to create business value across industries,https://docs.microsoft.com/en-us/learn/paths/ai-strategy-for-business-value/,7,"2,944","19,142",4.81%,727,35,37,2559,11.95624434,"1,461",334,learn.ai-strategy-for-business-value,functional-consultant;business-user,azure;dynamics-365;m365,intermediate
Deliver engaging and accessible virtual events with Microsoft Teams and Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-virtual-events-fundamentals/,3,"5,012","10,359",1.13%,"4,848",55,58,2559,4.154495877,175,75,learn-m365-pr.virtual-events-beginner,administrator;business-user,m365;office-teams,beginner
Deliver remote desktops and apps with Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/paths/m365-wvd/,8,"7,630","69,865",4.59%,"4,312",198,192,2559,23.30903014,"4,305",340,learn-m365.windows-virtual-desktop,administrator,azure;m365;azure-virtual-desktop,intermediate
Demonstrate fundamental knowledge of Microsoft 365 business management solutions,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,5,"22,061","266,013",25.91%,"6,411","1,661","1,910",2559,25.22775033,"5,277",135,learn.wwl.m365-business-management-solutions,business-owner;business-user,m365;office-365,beginner
"Demonstrate fundamental knowledge of Microsoft 365 licensing, service and support",https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,5,"20,987","226,770",33.54%,"4,628","1,552","1,790",2559,18.30832102,"4,898",67,learn.wwl.m365-licensing-service-support,business-owner;business-user,m365;office-365,beginner
Demonstrate fundamental knowledge of Microsoft 365 productivity and teamwork solutions,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,5,"27,978","370,419",15.24%,"18,306","2,790","3,144",2559,25.0209486,"10,170",125,learn.wwl.m365-productivity-teamwork-solutions,business-owner;business-user,m365;office-365,beginner
Demonstrate fundamental knowledge of Microsoft 365 security and compliance capabilities,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,7,"25,358","315,663",29.16%,"6,053","1,765","1,867",2559,25.42857284,"5,232",171,learn.wwl.m365-security-compliance-capabilities,business-owner;business-user,m365,beginner
Deploy 5G services with Azure,https://docs.microsoft.com/en-us/learn/paths/deploy-5g-services/,4,375,"1,754",2.73%,293,8,11,2559,15.45857778,45,142,learn.oxford.deploy-5g-services-with-azure,data-scientist;student,azure;azure-iot;azure-cloud-shell;azure-iot-edge;azure-iot-hub;azure-resource-manager;azure-virtual-machines,beginner
Deploy a website to Azure with Azure App Service,https://docs.microsoft.com/en-us/learn/paths/deploy-a-website-with-azure-app-service/,6,"24,344","252,416",10.55%,"6,703",707,794,2559,18.12483774,"8,049",243,learn.deploy-a-website-with-azure-app-service,developer,azure;azure-app-service;azure-portal,beginner
Deploy a website with Azure virtual machines,https://docs.microsoft.com/en-us/learn/paths/deploy-a-website-with-azure-virtual-machines/,4,"36,805","319,620",24.37%,"6,000","1,462","1,657",2559,17.35917448,"6,723",246,learn.deploy-a-website-with-azure-virtual-machines,developer,azure;azure-virtual-machines;azure-portal;azure-cloud-shell,beginner
Deploy and configure Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-dynamics-365-business-central/,8,"2,512","44,999",12.15%,"1,448",176,177,2559,48.46880308,"1,277",464,learn-dynamics.deploy-configure-dynamics-365-business-central,functional-consultant;administrator;business-user,dynamics-365;dynamics-business-central,intermediate
Deploy and configure Microsoft Edge and Microsoft Search for all your devices,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-microsoft-edge-search-for-devices/,5,614,"3,162",43.28%,67,29,35,2559,4.897421281,251,104,learn.wwl.deploy-configure-microsoft-edge-search-for-devices,administrator,m365;office-365,intermediate
Deploy and configure Windows Server IaaS Virtual Machine,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-windows-server-iaas-virtual-machine/,4,849,"9,841",38.67%,331,128,143,2559,22.89024342,308,204,learn.wwl.deploy-configure-windows-server-iaas-vm,administrator;solution-architect;student;technology-manager,azure;azure-clis;azure-cloud-shell;azure-portal;azure-storage;azure-virtual-machines,intermediate
Deploy and extend Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/deploy-dynamics-365-commerce/,6,549,"3,935",4.65%,129,6,7,2559,16.09884639,161,533,learn-dynamics.deploy-dynamics-365-commerce,functional-consultant;solution-architect;developer;administrator,dynamics-365;dynamics-commerce,beginner
Deploy and manage compute resources for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-compute-resources/,14,"41,273","441,515",149.54%,539,806,580,2559,21.44699925,"1,251",681,learn.azure-admin-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner
Deploy and manage resources in Azure by using Bicep,https://docs.microsoft.com/en-us/learn/paths/bicep-deploy/,7,"4,667","41,344",2.41%,"3,233",78,90,2559,32.98781516,306,277,learn.bicep-deploy-manage,developer;administrator;solution-architect,azure;azure-resource-manager,beginner
Deploy and manage resources in Azure by using JSON ARM templates,https://docs.microsoft.com/en-us/learn/paths/deploy-manage-resource-manager-templates/,8,"9,599","70,610",1.85%,"1,564",29,28,2559,23.56873806,660,306,learn.deploy-manage-resource-manager-templates,developer;administrator;solution-architect,azure;azure-resource-manager,beginner
Deploy and work with Loss Prevention for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-loss-prevention-fraud-protection/,3,231,"1,940",64.71%,51,33,30,2559,9.256277056,32,154,learn-dynamics.deploy-work-loss-prevention-fraud-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate
Deploy applications with Azure DevOps,https://docs.microsoft.com/en-us/learn/paths/deploy-applications-with-azure-devops/,8,"8,204","50,577",4.52%,"2,743",124,139,2559,18.62873192,"5,252",437,learn.azdo.deploy-applications-with-azure-devops,devops-engineer;administrator;developer,azure;azure-devops,intermediate
Deploy Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/deploy-project-operations/,3,708,"4,467",5.56%,198,11,14,2559,18.18604049,38,267,learn-dynamics.design-deploy-project-operations,administrator;functional-consultant,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations;dynamics-sales;dynamics-field-service,intermediate
Deploy Teams phone systems with Direct Routing,https://docs.microsoft.com/en-us/learn/paths/m365-teams-direct-routing/,4,655,"4,466",7.61%,447,34,39,2559,15.01880407,766,126,learn-m365.teams-direct-routing,administrator,office-teams,intermediate
Design and configure Microsoft Teams Rooms,https://docs.microsoft.com/en-us/learn/paths/m365-teams-rooms/,8,"1,567","13,193",7.08%,890,63,70,2559,12.36310359,"1,013",267,learn-m365.m365-teams-rooms,administrator,m365;office-teams,intermediate
Design your Microsoft 365 tenant,https://docs.microsoft.com/en-us/learn/paths/design-microsoft-365-tenant/,6,"1,913","25,052",6.50%,"1,646",107,137,2559,46.00838996,239,245,learn.wwl.design-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
Detect and respond to cyber attacks with Microsoft 365 Defender,https://docs.microsoft.com/en-us/learn/paths/defender-detect-respond/,5,646,"5,031",8.98%,501,45,46,2559,16.7000516,63,98,learn-m365.defender-detect-respond,administrator;security-operations-analyst;security-engineer,m365,beginner
Detect threats and protect information in cloud apps using Microsoft Cloud App Security,https://docs.microsoft.com/en-us/learn/paths/m365-cloud-app-security-intermediate/,3,152,"1,011",9.89%,91,9,10,2559,10.54407895,128,117,learn-m365.m365-cloud-app-security-intermediate,administrator,m365;m365-ems-cloud-app-security,intermediate
Develop and deploy applications on Kubernetes,https://docs.microsoft.com/en-us/learn/paths/develop-deploy-applications-kubernetes/,6,"24,834","117,520",0.35%,848,3,4,2559,5.40941921,533,332,learn.develop-deploy-applications-kubernetes,administrator;solution-architect;technology-manager,azure,intermediate
Develop apps for Microsoft Teams – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-msteams-associate/,8,"7,694","55,436",8.42%,"2,733",230,254,2559,16.12438913,"2,879",559,learn-m365.msteams-associate,developer,m365;office-teams,intermediate
Develop apps with the Microsoft Graph Toolkit,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-toolkit/,4,995,"3,779",1.59%,756,12,14,2559,7.89840871,210,91,learn-m365.m365-msgraph-toolkit,developer,m365;ms-graph,beginner
Develop IoT solutions with Azure IoT Central,https://docs.microsoft.com/en-us/learn/paths/develop-iot-solutions-with-azure-iot-central/,5,"2,002","20,508",5.26%,761,40,42,2559,28.95055778,"1,647",285,learn-develop-solutions-with-azure-iot-central,developer;solution-architect;administrator,azure;azure-iot;azure-iot-hub;azure-iot-central;azure-time-series-insights,beginner;intermediate
Develop using Power Apps and Power Automate for Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/power-apps-power-automate-business-central/,5,555,"3,748",5.76%,191,11,12,2559,13.76048048,228,388,learn-dynamics.power-apps-power-automate-business-central,developer;functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Develop Windows 10 applications,https://docs.microsoft.com/en-us/learn/paths/develop-windows10-apps/,4,"5,450","19,440",2.19%,"1,824",40,52,2559,7.768816514,"2,919",270,learn-windows.develop-windows-apps,developer,windows,beginner
Develop with Azure Digital Twins,https://docs.microsoft.com/en-us/learn/paths/develop-azure-digital-twins/,4,"1,505","14,044",4.28%,"1,121",48,55,2559,25.74425249,382,218,learn.azure.develop-azure-digital-twins,developer,azure;azure-iot;azure-time-series-insights;azure-iot-hub;azure-functions;azure-event-grid;azure-event-hubs;azure-digital-twins,intermediate;advanced
Discover the foundation of customizing Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/foundation-customize-business-central/,7,"1,274","11,374",10.40%,346,36,28,2559,20.61182627,432,405,learn-dynamics.foundation-customize-business-central,developer,dynamics-365;dynamics-business-central,intermediate;beginner
Discover the role of Python in space exploration,https://docs.microsoft.com/en-us/learn/paths/introduction-python-space-exploration-nasa/,5,"2,064","12,942",4.74%,"1,117",53,62,2559,13.62160853,"1,881",173,learn.introduction-python-space-exploration-nasa,student;data-scientist,vs-code,beginner
Discover ways to foster an AI-ready culture in your business,https://docs.microsoft.com/en-us/learn/paths/foster-ai-ready-culture/,5,916,"8,251",29.96%,257,77,82,2559,16.6782933,"1,110",202,learn.foster-an-ai-ready-culture-in-business,functional-consultant;business-user,azure;dynamics-365;m365,intermediate
Distributed programming on the cloud,https://docs.microsoft.com/en-us/learn/paths/cmu-cloud-computing-distributed-programming/,5,"1,154","4,494",7.11%,253,18,19,2559,10.65362507,916,414,learn.cmu-cloud-computing.distributed-programming,developer;student,azure,beginner;intermediate
"Enforce security, privacy, and compliance in Microsoft Teams",https://docs.microsoft.com/en-us/learn/paths/m365-teams-security/,8,"2,218","10,595",23.64%,330,78,77,2559,7.856995792,792,177,learn-m365.teams-security,administrator,office-teams,intermediate
Explore computer vision in Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,6,"24,573","378,873",51.82%,"10,950","5,674","6,385",2559,13.7708881,"5,815",176,learn.wwl.explore-computer-vision-microsoft-azure,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,beginner
Explore Conversational AI with Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,1,"10,981","69,741",126.34%,"4,404","5,564","6,517",2559,6.603610782,"2,647",29,learn.wwl.explore-conversational-ai,ai-engineer;data-scientist;developer;solution-architect;student,azure-bot-service;azure-cognitive-services,beginner
Explore data governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/introduction-to-data-governance-microsoft-365/,6,420,"2,885",6.50%,246,16,24,2559,16.76789683,120,225,learn.wwl.introduction-to-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
Explore Microsoft Graph scenarios for ASP.NET Core development,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-dotnet-core-scenarios/,3,,,,,,,2559,,5,108,learn-m365.msgraph-dotnet-core-scenarios,developer,m365;ms-graph;dotnet-core,intermediate
Explore Microsoft Graph scenarios for JavaScript development,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-scenarios/,3,577,"2,952",3.30%,394,13,11,2559,8.677758521,154,104,learn-m365.m365-msgraph-scenarios,developer,m365;ms-graph,intermediate
Explore Natural Language Processing in Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,4,"13,500","222,286",77.79%,"6,861","5,337","6,218",2559,14.81148025,"5,712",133,learn.wwl.explore-natural-language-processing,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services;azure-language-understanding;azure-portal,beginner
Explore security metrics in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/introduction-to-microsoft-365-security-metrics/,6,"1,011","8,501",7.41%,499,37,47,2559,25.79635674,148,194,learn.wwl.introduction-to-microsoft-365-security-metrics,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
Explore space with Python and Visual Studio Code; inspired by Netflix's Over the Moon,https://docs.microsoft.com/en-us/learn/paths/explore-space-using-python/,3,964,"4,759",3.34%,539,18,22,2559,11.86912172,"1,140",129,learn.explore-space-using-python,data-scientist;developer;student,azure-custom-vision;vs-code,beginner
Explore the Microsoft 365 platform services,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-365-platform-services/,8,"1,888","14,875",6.83%,776,53,63,2559,22.29685734,242,268,learn.wwl.explore-microsoft-365-platform-services,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
Extend Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/extending-finance-operations/,3,"7,541","45,705",22.10%,466,103,127,2559,7.253854484,596,155,learn-dynamics.extending-dynamics-365-finance-operations,developer,dynamics-365;dynamics-finance-operations,intermediate
Extend Microsoft 365 – Fundamental,https://docs.microsoft.com/en-us/learn/paths/m365-extend-fundamental/,4,"7,629","46,729",5.77%,"4,417",255,291,2559,15.80293398,"5,556",169,learn-m365.m365-extend-fundamental,developer,m365;office-teams;office-sp-framework;office-add-ins,beginner
Extend Microsoft SharePoint – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-sharepoint-associate/,8,"2,319","14,147",1.34%,"1,196",16,18,2559,20.05153083,"1,628",553,learn-m365.sharepoint-associate,developer,m365;office-365,intermediate
Extend Office clients with Office add-ins – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-office-add-in-associate/,4,"1,243","5,070",2.75%,510,14,13,2559,9.303875034,634,316,learn-m365.m365-office-add-in-associate,developer,m365;office-add-ins,intermediate
Extend Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/extend-power-apps-portals/,3,"1,836","9,365",11.77%,790,93,108,2559,15.89773057,780,142,learn-bizapps.extend-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced
Extending Microsoft Power Platform Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/extend-power-platform-common-data-service/,2,795,"3,756",11.34%,476,54,55,2559,16.51534591,"1,714",123,learn-dynamics.extend-power-platform-common-data-service,developer,dynamics-365;power-platform;power-apps,intermediate
Extending Microsoft Power Platform user experience Model Driven apps,https://docs.microsoft.com/en-us/learn/paths/extend-power-platform-model-driven-app/,3,"1,552","8,483",7.22%,485,35,27,2559,17.14567225,"1,501",217,learn-dynamics.extend-power-platform-model-driven-apps,developer,dynamics-365;power-platform;power-apps,intermediate
Extract text from images and documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,"1,186","10,749",29.19%,829,242,293,2559,20.76905565,224,91,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate
Foundations of data science for machine learning,https://docs.microsoft.com/en-us/learn/paths/machine-learning-foundations-using-data-science/,14,"11,992","150,766",2.95%,"3,521",104,138,2559,50.77196742,178,763,learn.machinelearning.machine-learning-foundations-using-data-science,ai-engineer;data-scientist;developer;student,azure,beginner;intermediate
Gain insights into your data through intelligent tools in Power BI,https://docs.microsoft.com/en-us/learn/paths/gain-insights-into-your-data-through-intelligent-tools-power-bi/,8,30,92,,8,,,2559,7.033888889,78,263,learn.wwl.gain-insights-into-your-data-through-intelligent-tools-power-bi,business-analyst;business-owner;business-user;data-analyst,power-bi;azure-synapse-analytics,beginner
Get started and use functionality in Microsoft Dynamics 365 Human Resources,https://docs.microsoft.com/en-us/learn/paths/get-started-use-human-resources/,6,325,"3,879",8.11%,148,12,12,2559,22.5285641,20,430,learn-dynamics.get-started-use-human-resources,functional-consultant;business-user,dynamics-365;dynamics-human-resources,beginner
Get Started Querying with Transact-SQL,https://docs.microsoft.com/en-us/learn/paths/get-started-querying-with-transact-sql/,6,"6,228","83,877",11.89%,"3,601",428,485,2559,33.26475326,"1,316",340,learn.wwl.get-started-querying-with-transact-sql,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student;technology-manager,azure-sql-database;sql-server;azure-sql-managed-instance;azure-sqlserver-vm;azure-sql-virtual-machines,beginner
Get started using Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,7,"23,596","263,601",14.94%,"8,386","1,253",988,2559,29.16795008,"4,976",325,learn-dynamics.get-started-using-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,beginner
